dispatching_base_number,date,active_vehicles,trips,trip_date,day_of_week,day_name,is_weekend,month,base_encoded,trips_lag_1,trips_lag_7,trips_lag_14,roll_mean_7,roll_std_7,roll_mean_14,roll_std_14,trips_per_vehicle,predicted_trips,predicted_trips_per_vehicle
B02512,1/22/2015,246,1551,2015-01-22,3,Thursday,0,1,0,1519.0,1636.0,1772.0,1396.142857142857,205.68619186471813,1463.428571428571,215.9710501560208,6.304878048780488,1552.9224,6.3126925336636175
B02512,1/23/2015,246,1670,2015-01-23,4,Friday,0,1,0,1551.0,1481.0,1560.0,1384.0,191.16223476408757,1447.642857142857,199.09974583411383,6.788617886178862,1669.2119,6.785414284806911
B02512,1/24/2015,211,1608,2015-01-24,5,Saturday,1,1,0,1670.0,1281.0,1646.0,1411.0,218.5337502538227,1455.5,205.9281988386317,7.62085308056872,1607.344,7.617744048059834
B02512,1/25/2015,183,1190,2015-01-25,6,Sunday,1,1,0,1608.0,1521.0,1104.0,1457.7142857142858,221.04879874944265,1452.7857142857142,203.45975923109117,6.502732240437158,1189.3342,6.4990941448941255
B02512,1/26/2015,197,1000,2015-01-26,0,Monday,0,1,0,1190.0,1025.0,1399.0,1410.428571428571,239.85749737629465,1458.928571428571,193.15655837676331,5.076142131979696,996.9295,5.060555859870717
B02512,1/27/2015,112,629,2015-01-27,1,Tuesday,0,1,0,1000.0,1310.0,1652.0,1406.857142857143,246.6430812405036,1430.428571428571,228.822307373316,5.616071428571429,632.812,5.650107247488839
B02512,1/28/2015,235,1438,2015-01-28,2,Wednesday,0,1,0,629.0,1519.0,1582.0,1309.571428571429,386.09707636934064,1357.357142857143,303.7100355837549,6.1191489361702125,1438.6587,6.121951878324468
B02512,1/29/2015,250,1687,2015-01-29,3,Thursday,0,1,0,1438.0,1551.0,1636.0,1298.0,379.9390301965129,1347.071428571429,297.89968995406025,6.748,1686.452,6.74580810546875
B02512,1/30/2015,256,2016,2015-01-30,4,Friday,0,1,0,1687.0,1670.0,1481.0,1317.428571428571,398.0769846578496,1350.7142857142858,301.98839217921767,7.875,2016.8306,7.878244400024414
B02512,1/31/2015,225,1892,2015-01-31,5,Saturday,1,1,0,2016.0,1608.0,1281.0,1366.857142857143,465.0062467578362,1388.928571428571,349.80730174147067,8.408888888888889,1888.2031,8.392013888888888
B02512,2/1/2015,193,1377,2015-02-01,6,Sunday,1,2,0,1892.0,1190.0,1521.0,1407.428571428571,500.5809482134592,1432.571428571429,372.67364858767286,7.134715025906735,1377.3647,7.136604902040156
B02512,2/2/2015,227,1904,2015-02-02,0,Monday,0,2,0,1377.0,1000.0,1025.0,1434.142857142857,491.9591543246348,1422.2857142857142,372.0319317501633,8.387665198237885,1904.0559,8.387911489881608
B02512,2/3/2015,257,1915,2015-02-03,1,Tuesday,0,2,0,1904.0,629.0,1310.0,1563.2857142857142,477.43820343080887,1485.071428571429,373.99351378285735,7.45136186770428,1917.1758,7.459827942607004
B02512,2/4/2015,244,1639,2015-02-04,2,Wednesday,0,2,0,1915.0,1438.0,1519.0,1747.0,252.4017960844716,1528.2857142857142,386.9375677272514,6.717213114754099,1636.8246,6.708297479348104
B02512,2/5/2015,264,2022,2015-02-05,3,Thursday,0,2,0,1639.0,1687.0,1551.0,1775.7142857142858,220.8511672942632,1536.857142857143,388.0435854073922,7.659090909090909,2019.2595,7.6487103086529356
B02512,2/6/2015,261,1989,2015-02-06,4,Friday,0,2,0,2022.0,2016.0,1670.0,1823.571428571429,234.30952259981447,1570.5,409.20462250190064,7.620689655172414,1989.8203,7.623832614942529
B02512,2/7/2015,211,1504,2015-02-07,5,Saturday,1,2,0,1989.0,1892.0,1608.0,1819.7142857142856,230.80996099657116,1593.2857142857142,423.7926613100087,7.127962085308057,1506.0117,7.137496297393365
B02512,2/8/2015,176,1196,2015-02-08,6,Sunday,1,2,0,1504.0,1377.0,1190.0,1764.2857142857142,255.7940019401784,1585.857142857143,424.4259212599563,6.795454545454546,1195.8414,6.794553583318537
B02512,2/9/2015,228,1565,2015-02-09,0,Monday,0,2,0,1196.0,1904.0,1000.0,1738.428571428571,305.7400078186578,1586.2857142857142,423.998263525368,6.864035087719298,1563.6229,6.857995284231086
B02512,2/10/2015,233,1555,2015-02-10,1,Tuesday,0,2,0,1565.0,1915.0,629.0,1690.0,301.96798947349896,1626.642857142857,389.3771371627447,6.67381974248927,1557.1713,6.683138474885998
B02512,2/11/2015,255,1831,2015-02-11,2,Wednesday,0,2,0,1555.0,1639.0,1438.0,1638.571428571429,287.57425542101794,1692.7857142857142,265.964479575007,7.180392156862745,1835.2817,7.197183287377451
B02512,2/12/2015,269,2092,2015-02-12,3,Thursday,0,2,0,1831.0,2022.0,1687.0,1666.0,296.635578895498,1720.857142857143,257.61296465907816,7.776951672862453,2088.748,7.764862627788104
B02512,2/13/2015,281,2408,2015-02-13,4,Friday,0,2,0,2092.0,1989.0,2016.0,1676.0,311.44715977727884,1749.7857142857142,275.62828329010506,8.569395017793594,2407.5,8.567615658362989
B02512,2/14/2015,236,2055,2015-02-14,5,Saturday,1,2,0,2408.0,1504.0,1892.0,1735.857142857143,407.1794970982004,1777.7857142857142,320.9388100249324,8.707627118644067,2056.9475,8.715879278667902
B02512,2/15/2015,210,1996,2015-02-15,6,Sunday,1,2,0,2055.0,1196.0,1377.0,1814.571428571429,408.1449322413378,1789.428571428571,328.27373996658366,9.504761904761905,1996.4241,9.506781296502977
B02512,2/16/2015,207,1576,2015-02-16,0,Monday,0,2,0,1996.0,1565.0,1904.0,1928.857142857143,305.0548740644489,1833.642857142857,309.60684924416785,7.613526570048309,1578.6969,7.626555069633152
B02512,2/17/2015,241,1797,2015-02-17,1,Tuesday,0,2,0,1576.0,1555.0,1915.0,1930.4285714285716,302.88878990088034,1810.2142857142856,316.2129707288154,7.45643153526971,1792.3812,7.43726649620721
B02512,2/18/2015,228,1589,2015-02-18,2,Wednesday,0,2,0,1797.0,1831.0,1639.0,1965.0,264.2410515671891,1801.7857142857144,314.77444392683844,6.969298245614035,1590.0104,6.9737297191954495
B02512,2/19/2015,250,2120,2015-02-19,3,Thursday,0,2,0,1589.0,2092.0,2022.0,1930.4285714285716,298.32692198484693,1798.2142857142858,317.03898779206884,8.48,2211.5693,8.84627734375
B02512,2/20/2015,272,2380,2015-02-20,4,Friday,0,2,0,2120.0,2408.0,1989.0,1934.4285714285716,301.02981975371307,1805.2142857142856,323.37860130228097,8.75,2433.0142,8.94490500057445
B02512,2/21/2015,238,2149,2015-02-21,5,Saturday,1,2,0,2380.0,2055.0,1504.0,1930.4285714285716,293.7872570091374,1833.142857142857,355.73755605953187,9.029411764705882,2140.4915,8.993661575958509
B02512,2/22/2015,199,1312,2015-02-22,6,Sunday,1,2,0,2149.0,1996.0,1196.0,1943.857142857143,302.45078308788817,1879.2142857142856,351.5738632473709,6.592964824120603,1265.834,6.360974795854271
B02512,2/23/2015,238,1844,2015-02-23,0,Monday,0,2,0,1312.0,1576.0,1565.0,1846.142857142857,382.6545128317145,1887.5,335.22019169954046,7.7478991596638656,1758.6029,7.389087837283351
B02512,2/24/2015,247,1869,2015-02-24,1,Tuesday,0,2,0,1844.0,1797.0,1555.0,1884.4285714285716,364.07730733222894,1907.4285714285716,322.6297507111763,7.566801619433198,1821.56,7.374737079326923
B02512,2/25/2015,246,1647,2015-02-25,2,Wednesday,0,2,0,1869.0,1589.0,1831.0,1894.7142857142856,362.20791188014095,1929.857142857143,306.7694842769016,6.695121951219512,1693.4465,6.8839289967606705
B02512,2/26/2015,243,1797,2015-02-26,3,Thursday,0,2,0,1647.0,2120.0,2092.0,1903.0,354.6331437791273,1916.7142857142856,315.1574523634488,7.395061728395062,1927.7963,7.933317961516203
B02512,2/27/2015,272,2056,2015-02-27,4,Friday,0,2,0,1797.0,2380.0,2408.0,1856.857142857143,342.4983837292424,1895.642857142857,312.38600558206224,7.558823529411764,2191.802,8.058095595415901
B02512,2/28/2015,230,1803,2015-02-28,5,Saturday,1,2,0,2056.0,2149.0,2055.0,1810.571428571429,275.32214897150254,1870.5,280.5159394895272,7.839130434782609,1862.38,8.097304369055706
B02598,1/8/2015,1070,10050,2015-01-08,3,Thursday,0,1,1,8397.0,6903.0,,6476.714285714285,1281.2142306273,,,9.392523364485982,10050.115,9.392631060163552
B02598,1/9/2015,1070,9538,2015-01-09,4,Friday,0,1,1,10050.0,4768.0,,6926.285714285715,1871.7598416361816,,,8.914018691588785,9543.38,8.919046619450935
B02598,1/10/2015,949,10287,2015-01-10,5,Saturday,1,1,1,9538.0,7432.0,,7607.714285714285,1822.697151136717,,,10.839831401475235,10285.538,10.838290923011064
B02598,1/11/2015,832,7176,2015-01-11,6,Sunday,1,1,1,10287.0,5223.0,,8015.571428571428,2078.3251956918625,,,8.625,7166.848,8.614000173715445
B02598,1/12/2015,964,7915,2015-01-12,0,Monday,0,1,1,7176.0,5798.0,,8294.57142857143,1745.3820839711912,,,8.21058091286307,7916.5815,8.212221517602437
B02598,1/13/2015,975,8713,2015-01-13,1,Tuesday,0,1,1,7915.0,6816.0,,8597.0,1387.3905962873848,,,8.936410256410257,8716.393,8.939889823717948
B02598,1/14/2015,1030,8870,2015-01-14,2,Wednesday,0,1,1,8713.0,8397.0,,8868.0,1145.7547730644624,,,8.611650485436893,8868.8545,8.610538341929612
B02598,1/15/2015,1068,9152,2015-01-15,3,Thursday,0,1,1,8870.0,10050.0,6903.0,8935.57142857143,1127.1443056300657,7706.142857142857,1723.8755468707425,8.569288389513108,9151.487,8.568808337722379
B02598,1/16/2015,1079,9838,2015-01-16,4,Friday,0,1,1,9152.0,9538.0,4768.0,8807.285714285714,1025.7042644423564,7866.785714285715,1747.897382068455,9.117701575532902,9844.353,9.123589007472196
B02598,1/17/2015,974,9546,2015-01-17,5,Saturday,1,1,1,9838.0,10287.0,7432.0,8850.142857142857,1066.7698015616145,8228.92857142857,1572.9452268954528,9.80082135523614,9544.077,9.798847174987166
B02598,1/18/2015,869,9443,2015-01-18,6,Sunday,1,1,1,9546.0,7176.0,5223.0,8744.285714285714,928.1886866878068,8379.92857142857,1591.9123702344598,10.86651323360184,9441.702,10.86501973352992
B02598,1/19/2015,706,5609,2015-01-19,0,Monday,0,1,1,9443.0,7915.0,5798.0,9068.142857142857,640.7941501427266,8681.357142857143,1325.3823603394242,7.944759206798867,5609.947,7.946100251195113
B02598,1/20/2015,944,7206,2015-01-20,1,Tuesday,0,1,1,5609.0,8713.0,6816.0,8738.714285714286,1434.106657387066,8667.857142857143,1357.5820619561298,7.633474576271187,7207.9062,7.635493908898305
B02598,1/21/2015,1035,8041,2015-01-21,2,Wednesday,0,1,1,7206.0,8870.0,8397.0,8523.42857142857,1547.2603591663617,8695.714285714286,1320.1446557434203,7.769082125603865,8038.514,7.766680347977053
B02598,1/22/2015,1071,9080,2015-01-22,3,Thursday,0,1,1,8041.0,9152.0,10050.0,8405.0,1548.038328552193,8670.285714285714,1329.734874012424,8.478057889822596,9080.738,8.47874722805789
B02598,1/23/2015,1093,9343,2015-01-23,4,Friday,0,1,1,9080.0,9838.0,9538.0,8394.714285714286,1542.47698138262,8601.0,1276.5211137486742,8.548032936870998,9343.675,8.548650324508234
B02598,1/24/2015,945,10040,2015-01-24,5,Saturday,1,1,1,9343.0,9546.0,10287.0,8324.0,1475.159878340876,8587.07142857143,1266.5355207315456,10.624338624338623,10041.57,10.62600033068783
B02598,1/25/2015,829,7219,2015-01-25,6,Sunday,1,1,1,10040.0,9443.0,7176.0,8394.57142857143,1553.1199628643049,8569.42857142857,1242.5267503256125,8.708082026537998,7219.1196,8.708226331611883
B02598,1/26/2015,860,5919,2015-01-26,0,Monday,0,1,1,7219.0,5609.0,7915.0,8076.857142857143,1530.210162970154,8572.5,1238.8650978896906,6.882558139534884,5918.129,6.881545239825582
B02598,1/27/2015,434,2957,2015-01-27,1,Tuesday,0,1,1,5919.0,7206.0,8713.0,8121.142857142857,1449.227314648676,8429.92857142857,1421.7110744173312,6.813364055299539,2956.9949,6.813352242043491
B02598,1/28/2015,1011,8071,2015-01-28,2,Wednesday,0,1,1,2957.0,8041.0,8870.0,7514.142857142857,2444.4938418529814,8018.785714285715,2033.993615396207,7.983184965380811,8072.157,7.9843296009520275
B02598,1/29/2015,1082,9499,2015-01-29,3,Thursday,0,1,1,8071.0,9080.0,9152.0,7518.428571428572,2445.5975314254574,7961.714285714285,2019.429676859342,8.779112754158964,9497.961,8.778152437615526
B02598,1/30/2015,1106,11167,2015-01-30,4,Friday,0,1,1,9499.0,9343.0,9838.0,7578.285714285715,2494.820014502431,7986.5,2037.2137363792524,10.096745027124774,11164.993,10.094930528085444
