model,RMSE,MAPE
XGBoost,874.5079688030293,4.507179914889401
RandomForest,887.4902106018784,5.397945574785474
LinearReg,1109.202844830949,6.832838973472915
Baseline_roll7,2269.9112308454637,11.284759873601184
Baseline_lag1,2749.502464083275,13.604118789014006
