dispatching_base_number,date,active_vehicles,trips,trip_date,day_of_week,day_name,is_weekend,month,base_encoded,trips_lag_1,trips_lag_7,trips_lag_14,roll_mean_7,roll_std_7,roll_mean_14,roll_std_14,trips_per_vehicle
B02512,2/3/2015,257,1915,2015-02-03,1,Tuesday,0,2,0,1904.0,629.0,1310.0,1563.2857142857142,477.43820343080887,1485.0714285714287,373.99351378285735,7.45136186770428
B02598,2/3/2015,991,9602,2015-02-03,1,Tuesday,0,2,1,9511.0,2957.0,7206.0,8906.57142857143,2879.6690699420565,8513.857142857143,2227.7215976157167,9.68920282542886
B02617,2/3/2015,1350,12665,2015-02-03,1,Tuesday,0,2,2,12216.0,4325.0,10015.0,12001.42857142857,3755.916659402994,11599.92857142857,2976.693505430939,9.381481481481481
B02682,2/3/2015,1269,11955,2015-02-03,1,Tuesday,0,2,3,11981.0,4414.0,8496.0,11368.714285714286,3512.418431521968,10731.285714285714,2821.2380923322266,9.42080378250591
B02764,2/3/2015,3674,31641,2015-02-03,1,Tuesday,0,2,4,30761.0,11998.0,26137.0,31915.428571428572,10394.605409492351,30566.35714285714,8296.969776853593,8.61213935764834
B02765,2/3/2015,299,2410,2015-02-03,1,Tuesday,0,2,5,2607.0,921.0,1608.0,2323.714285714286,766.5345641882288,2095.8571428571427,618.3069759298506,8.060200668896321
B02512,2/4/2015,244,1639,2015-02-04,2,Wednesday,0,2,0,1915.0,1438.0,1519.0,1747.0,252.40179608447158,1528.2857142857142,386.9375677272514,6.717213114754099
B02598,2/4/2015,1072,9600,2015-02-04,2,Wednesday,0,2,1,9602.0,8071.0,8041.0,9855.857142857143,1192.5589333545745,8685.0,2211.49396075629,8.955223880597014
B02617,2/4/2015,1393,11959,2015-02-04,2,Wednesday,0,2,2,12665.0,10862.0,10997.0,13192.857142857143,1644.0659383138468,11789.214285714286,2952.312344810198,8.585068198133525
B02682,2/4/2015,1311,11309,2015-02-04,2,Wednesday,0,2,3,11955.0,10025.0,9472.0,12446.0,1725.995751250085,10978.357142857143,2761.2476446246296,8.626239511823035
B02764,2/4/2015,3856,29994,2015-02-04,2,Wednesday,0,2,4,31641.0,28137.0,27344.0,34721.57142857143,5723.303470815404,30959.5,8200.78791477239,7.778526970954357
B02765,2/4/2015,309,2334,2015-02-04,2,Wednesday,0,2,5,2410.0,1913.0,1774.0,2536.4285714285716,456.17206444602914,2153.1428571428573,606.6733828070866,7.553398058252427
B02512,2/5/2015,264,2022,2015-02-05,3,Thursday,0,2,0,1639.0,1687.0,1551.0,1775.7142857142858,220.8511672942632,1536.857142857143,388.04358540739224,7.659090909090909
B02598,2/5/2015,1179,11609,2015-02-05,3,Thursday,0,2,1,9600.0,9499.0,9080.0,10074.285714285714,920.0499468843495,8796.357142857143,2215.818223839425,9.846480067854113
B02617,2/5/2015,1524,14499,2015-02-05,3,Thursday,0,2,2,11959.0,12600.0,12143.0,13349.57142857143,1422.1644135076638,11857.92857142857,2943.637819075254,9.513779527559056
B02682,2/5/2015,1418,13782,2015-02-05,3,Thursday,0,2,3,11309.0,11485.0,10699.0,12629.42857142857,1475.938894076456,11109.57142857143,2727.6014178221685,9.719322990126939
B02764,2/5/2015,4093,35990,2015-02-05,3,Thursday,0,2,4,29994.0,31637.0,30091.0,34986.857142857145,5401.202502794216,31148.785714285714,8141.284789728983,8.793061324212069
B02765,2/5/2015,355,3011,2015-02-05,3,Thursday,0,2,5,2334.0,2086.0,2038.0,2596.5714285714284,382.00168286839454,2193.1428571428573,598.1538079975572,8.481690140845071
B02512,2/6/2015,261,1989,2015-02-06,4,Friday,0,2,0,2022.0,2016.0,1670.0,1823.5714285714287,234.30952259981447,1570.5,409.20462250190064,7.620689655172414
B02598,2/6/2015,1181,11897,2015-02-06,4,Friday,0,2,1,11609.0,11167.0,9343.0,10375.714285714286,1038.2141260012602,8977.0,2340.3108932197615,10.073666384419983
B02617,2/6/2015,1526,15417,2015-02-06,4,Friday,0,2,2,14499.0,14793.0,13121.0,13620.857142857143,1436.3998315895374,12026.214285714286,3027.344080430682,10.102883355176933
B02682,2/6/2015,1414,14375,2015-02-06,4,Friday,0,2,3,13782.0,13852.0,11767.0,12957.57142857143,1433.8371429074386,11329.785714285714,2814.958783099579,10.166195190947667
B02764,2/6/2015,4170,38693,2015-02-06,4,Friday,0,2,4,35990.0,39110.0,33756.0,35608.71428571428,5198.008263244868,31570.14285714286,8234.44731560088,9.278896882494005
B02765,2/6/2015,385,3569,2015-02-06,4,Friday,0,2,5,3011.0,2785.0,2162.0,2728.714285714286,332.7630359508667,2262.6428571428573,634.1827699601167,9.27012987012987
B02512,2/7/2015,211,1504,2015-02-07,5,Saturday,1,2,0,1989.0,1892.0,1608.0,1819.7142857142858,230.80996099657114,1593.2857142857142,423.79266131000867,7.127962085308057
B02598,2/7/2015,1031,10512,2015-02-07,5,Saturday,1,2,1,11897.0,11642.0,10040.0,10480.0,1160.4151555944634,9159.42857142857,2467.1415635316703,10.19592628516004
B02617,2/7/2015,1383,13688,2015-02-07,5,Saturday,1,2,2,15417.0,15756.0,14143.0,13710.0,1537.0996497733347,12190.214285714286,3150.883714344072,9.897324656543745
B02682,2/7/2015,1300,13450,2015-02-07,5,Saturday,1,2,3,14375.0,15388.0,13355.0,13032.285714285714,1500.2977164867154,11516.07142857143,2930.059712289569,10.346153846153847
B02764,2/7/2015,3849,38530,2015-02-07,5,Saturday,1,2,4,38693.0,44297.0,39187.0,35549.142857142855,5153.392327020184,31922.785714285714,8438.445529275483,10.010392309690829
B02765,2/7/2015,345,3473,2015-02-07,5,Saturday,1,2,5,3569.0,3282.0,2376.0,2840.714285714286,461.7884487820923,2363.1428571428573,722.3613901794439,10.066666666666666
B02512,2/8/2015,176,1196,2015-02-08,6,Sunday,1,2,0,1504.0,1377.0,1190.0,1764.2857142857142,255.79400194017836,1585.857142857143,424.4259212599563,6.795454545454546
B02598,2/8/2015,923,8129,2015-02-08,6,Sunday,1,2,1,10512.0,9499.0,7219.0,10318.57142857143,1044.6487220022534,9193.142857142857,2483.2727740483265,8.807150595882991
B02617,2/8/2015,1256,11004,2015-02-08,6,Sunday,1,2,2,13688.0,13458.0,10362.0,13414.57142857143,1250.2982120468687,12157.714285714286,3131.4789926356993,8.761146496815286
B02682,2/8/2015,1136,10356,2015-02-08,6,Sunday,1,2,3,13450.0,12436.0,9303.0,12755.42857142857,1125.011534332411,11522.857142857143,2934.752324948601,9.116197183098592
B02764,2/8/2015,3422,29692,2015-02-08,6,Sunday,1,2,4,38530.0,37468.0,28066.0,34725.28571428572,3806.880512715795,31875.85714285714,8396.663062991543,8.676797194623028
B02765,2/8/2015,313,2623,2015-02-08,6,Sunday,1,2,5,3473.0,2672.0,1755.0,2868.0,496.5433851470916,2441.5,780.9824926630268,8.380191693290735
B02512,2/9/2015,228,1565,2015-02-09,0,Monday,0,2,0,1196.0,1904.0,1000.0,1738.4285714285713,305.7400078186578,1586.2857142857142,423.99826352536803,6.864035087719298
B02598,2/9/2015,976,8135,2015-02-09,0,Monday,0,2,1,8129.0,9511.0,5919.0,10122.857142857143,1316.696804959466,9258.142857142857,2439.1419947042177,8.335040983606557
B02617,2/9/2015,1312,10887,2015-02-09,0,Monday,0,2,2,11004.0,12216.0,7608.0,13064.0,1545.3230514469496,12203.57142857143,3107.770848751829,8.298018292682928
B02682,2/9/2015,1241,10209,2015-02-09,0,Monday,0,2,3,10356.0,11981.0,7565.0,12458.285714285714,1450.9233513278996,11598.07142857143,2886.581887718675,8.226430298146656
B02764,2/9/2015,3543,28266,2015-02-09,0,Monday,0,2,4,29692.0,30761.0,19940.0,33614.42857142857,4002.655237761678,31992.0,8351.032778138187,7.977984758679086
B02765,2/9/2015,388,2894,2015-02-09,0,Monday,0,2,5,2623.0,2607.0,1363.0,2861.0,500.0996567352014,2503.5,756.3567280060389,7.458762886597938
B02512,2/10/2015,233,1555,2015-02-10,1,Tuesday,0,2,0,1565.0,1915.0,629.0,1690.0,301.96798947349896,1626.642857142857,389.37713716274465,6.67381974248927
B02598,2/10/2015,1029,8718,2015-02-10,1,Tuesday,0,2,1,8135.0,9602.0,2957.0,9926.285714285714,1511.5592076049247,9416.42857142857,2271.9559758155424,8.472303206997085
B02617,2/10/2015,1364,11401,2015-02-10,1,Tuesday,0,2,2,10887.0,12665.0,4325.0,12874.142857142857,1736.6656201440896,12437.785714285714,2847.4443380410044,8.35850439882698
B02682,2/10/2015,1281,10536,2015-02-10,1,Tuesday,0,2,3,10209.0,11955.0,4414.0,12205.142857142857,1683.9431333006726,11786.92857142857,2681.634560782366,8.224824355971897
B02764,2/10/2015,3700,29124,2015-02-10,1,Tuesday,0,2,4,28266.0,31641.0,11998.0,33258.0,4391.314116146408,32586.714285714286,7697.6395525718535,7.871351351351351
B02765,2/10/2015,422,3432,2015-02-10,1,Tuesday,0,2,5,2894.0,2410.0,921.0,2902.0,487.40879488713875,2612.8571428571427,686.1994391790711,8.132701421800947
B02512,2/11/2015,255,1831,2015-02-11,2,Wednesday,0,2,0,1555.0,1639.0,1438.0,1638.5714285714287,287.57425542101794,1692.7857142857142,265.964479575007,7.180392156862745
B02598,2/11/2015,1115,10034,2015-02-11,2,Wednesday,0,2,1,8718.0,9600.0,8071.0,9800.0,1578.60824779297,9827.92857142857,1344.3936273557388,8.999103139013453
B02617,2/11/2015,1450,12749,2015-02-11,2,Wednesday,0,2,2,11401.0,11959.0,10862.0,12693.57142857143,1825.4776413442041,12943.214285714286,1688.9785342066998,8.792413793103448
B02682,2/11/2015,1396,12189,2015-02-11,2,Wednesday,0,2,3,10536.0,11309.0,10025.0,12002.42857142857,1800.4537258834587,12224.214285714286,1709.9890768239309,8.73137535816619
B02764,2/11/2015,3849,31889,2015-02-11,2,Wednesday,0,2,4,29124.0,29994.0,28137.0,32898.42857142857,4641.696236547691,33810.0,5094.8145131179035,8.285009093270979
B02765,2/11/2015,450,3778,2015-02-11,2,Wednesday,0,2,5,3432.0,2334.0,1913.0,3048.0,468.1573809450544,2792.214285714286,517.3567700074382,8.395555555555555
B02512,2/12/2015,269,2092,2015-02-12,3,Thursday,0,2,0,1831.0,2022.0,1687.0,1666.0,296.63557889549793,1720.857142857143,257.61296465907816,7.776951672862453
B02598,2/12/2015,1181,11640,2015-02-12,3,Thursday,0,2,1,10034.0,11609.0,9499.0,9862.0,1577.9666240661293,9968.142857142857,1245.8099532273911,9.856054191363251
B02617,2/12/2015,1532,14263,2015-02-12,3,Thursday,0,2,2,12749.0,14499.0,12600.0,12806.42857142857,1796.6882364638552,13078.0,1582.0229503343626,9.310052219321149
B02682,2/12/2015,1468,13786,2015-02-12,3,Thursday,0,2,3,12189.0,13782.0,11485.0,12128.142857142857,1774.501754349791,12378.785714285714,1589.4609235437483,9.39100817438692
B02764,2/12/2015,4137,36844,2015-02-12,3,Thursday,0,2,4,31889.0,35990.0,31637.0,33169.142857142855,4497.078697279363,34078.0,4867.036138064999,8.905970510031423
B02765,2/12/2015,536,4609,2015-02-12,3,Thursday,0,2,5,3778.0,3011.0,2086.0,3254.285714285714,416.3843233863446,2925.4285714285716,513.6494935243335,8.598880597014926
B02512,2/13/2015,281,2408,2015-02-13,4,Friday,0,2,0,2092.0,1989.0,2016.0,1676.0,311.44715977727884,1749.7857142857142,275.62828329010506,8.569395017793594
B02598,2/13/2015,1216,13062,2015-02-13,4,Friday,0,2,1,11640.0,11897.0,11167.0,9866.42857142857,1583.7197623677857,10121.07142857143,1313.36745483835,10.741776315789474
B02617,2/13/2015,1590,16996,2015-02-13,4,Friday,0,2,2,14263.0,15417.0,14793.0,12772.714285714286,1761.5039705022575,13196.785714285714,1605.6284740572223,10.68930817610063
B02682,2/13/2015,1523,16088,2015-02-13,4,Friday,0,2,3,13786.0,14375.0,13852.0,12128.714285714286,1775.1236308386847,12543.142857142857,1608.7795592714651,10.563361785948786
B02764,2/13/2015,4395,43561,2015-02-13,4,Friday,0,2,4,36844.0,38693.0,39110.0,33291.142857142855,4596.836826506228,34449.92857142857,4865.104733860151,9.911490329920364
B02765,2/13/2015,599,5909,2015-02-13,4,Friday,0,2,5,4609.0,3569.0,2785.0,3482.5714285714284,639.207545101186,3105.6428571428573,626.6490377264766,9.864774624373956
B02512,2/14/2015,236,2055,2015-02-14,5,Saturday,1,2,0,2408.0,1504.0,1892.0,1735.857142857143,407.1794970982004,1777.7857142857142,320.93881002493237,8.707627118644067
B02598,2/14/2015,1111,12678,2015-02-14,5,Saturday,1,2,1,13062.0,10512.0,11642.0,10032.857142857143,1868.3137163916372,10256.42857142857,1512.0728367827583,11.411341134113412
B02617,2/14/2015,1486,16999,2015-02-14,5,Saturday,1,2,2,16996.0,13688.0,15756.0,12998.285714285714,2202.4643556923274,13354.142857142857,1861.6375693352534,11.439434724091521
B02682,2/14/2015,1428,16448,2015-02-14,5,Saturday,1,2,3,16088.0,13450.0,15388.0,12373.42857142857,2202.9272841035017,12702.857142857143,1842.699017834896,11.518207282913165
B02764,2/14/2015,4129,45858,2015-02-14,5,Saturday,1,2,4,43561.0,38530.0,44297.0,33986.57142857143,5769.026661322312,34767.857142857145,5317.463462058722,11.10632114313393
B02765,2/14/2015,583,6307,2015-02-14,5,Saturday,1,2,5,5909.0,3473.0,3282.0,3816.8571428571427,1121.7081362177692,3328.785714285714,967.3062659199078,10.818181818181818
B02512,2/15/2015,210,1996,2015-02-15,6,Sunday,1,2,0,2055.0,1196.0,1377.0,1814.5714285714287,408.14493224133787,1789.4285714285713,328.27373996658366,9.504761904761905
B02598,2/15/2015,1003,11517,2015-02-15,6,Sunday,1,2,1,12678.0,8129.0,9499.0,10342.285714285714,2122.9129919590573,10330.42857142857,1607.4411444799548,11.482552342971086
B02617,2/15/2015,1293,14662,2015-02-15,6,Sunday,1,2,2,16999.0,11004.0,13458.0,13471.285714285714,2679.2101270266,13442.92857142857,2008.8215628643086,11.33952049497293
B02682,2/15/2015,1261,14517,2015-02-15,6,Sunday,1,2,3,16448.0,10356.0,12436.0,12801.714285714286,2685.655023408986,12778.57142857143,1978.302719088176,11.51229183187946
B02764,2/15/2015,3651,41209,2015-02-15,6,Sunday,1,2,4,45858.0,29692.0,37468.0,35033.42857142857,7214.646164969863,34879.357142857145,5544.179784063811,11.287044645302657
B02765,2/15/2015,521,5500,2015-02-15,6,Sunday,1,2,5,6307.0,2623.0,2672.0,4221.714285714285,1442.4853221998146,3544.8571428571427,1252.0080398576263,10.556621880998081
B02512,2/16/2015,207,1576,2015-02-16,0,Monday,0,2,0,1996.0,1565.0,1904.0,1928.857142857143,305.0548740644489,1833.642857142857,309.60684924416785,7.613526570048309
B02598,2/16/2015,934,9052,2015-02-16,0,Monday,0,2,1,11517.0,8135.0,9511.0,10826.285714285714,1909.715747983249,10474.57142857143,1617.5972073648986,9.691648822269807
B02617,2/16/2015,1214,11824,2015-02-16,0,Monday,0,2,2,14662.0,10887.0,12216.0,13993.857142857143,2466.027063150456,13528.92857142857,2035.1166462235765,9.739703459637562
B02682,2/16/2015,1164,11323,2015-02-16,0,Monday,0,2,3,14517.0,10209.0,11981.0,13396.142857142857,2508.775493381282,12927.214285714286,2028.1350728258703,9.72766323024055
B02764,2/16/2015,3524,33448,2015-02-16,0,Monday,0,2,4,41209.0,28266.0,30761.0,36678.71428571428,7105.922218222535,35146.57142857143,5764.324908291646,9.491486946651532
B02765,2/16/2015,508,4875,2015-02-16,0,Monday,0,2,5,5500.0,2894.0,2607.0,4632.714285714285,1315.3113337768752,3746.8571428571427,1326.2805630288549,9.596456692913385
B02512,2/17/2015,241,1797,2015-02-17,1,Tuesday,0,2,0,1576.0,1555.0,1915.0,1930.4285714285713,302.88878990088034,1810.2142857142858,316.2129707288154,7.45643153526971
B02598,2/17/2015,1066,9463,2015-02-17,1,Tuesday,0,2,1,9052.0,8718.0,9602.0,10957.285714285714,1715.9559740162001,10441.785714285714,1643.0801365620696,8.877110694183864
B02617,2/17/2015,1378,12524,2015-02-17,1,Tuesday,0,2,2,11824.0,11401.0,12665.0,14127.714285714286,2288.30473744835,13500.92857142857,2057.147407465977,9.088534107402031
B02682,2/17/2015,1314,11887,2015-02-17,1,Tuesday,0,2,3,11323.0,10536.0,11955.0,13555.285714285714,2299.510217001711,12880.214285714286,2059.1366816281034,9.04642313546423
B02764,2/17/2015,3826,32473,2015-02-17,1,Tuesday,0,2,4,33448.0,29124.0,31641.0,37419.0,6308.623410327601,35338.5,5650.683672046977,8.487454260324098
B02765,2/17/2015,578,4907,2015-02-17,1,Tuesday,0,2,5,4875.0,3432.0,2410.0,4915.714285714285,1068.8947117288506,3908.8571428571427,1314.8055636974143,8.48961937716263
B02512,2/18/2015,228,1589,2015-02-18,2,Wednesday,0,2,0,1797.0,1831.0,1639.0,1965.0,264.2410515671891,1801.7857142857142,314.77444392683844,6.969298245614035
B02598,2/18/2015,1078,9538,2015-02-18,2,Wednesday,0,2,1,9463.0,10034.0,9600.0,11063.714285714286,1570.893027790844,10431.857142857143,1648.9544872733434,8.847866419294991
B02617,2/18/2015,1394,12016,2015-02-18,2,Wednesday,0,2,2,12524.0,12749.0,11959.0,14288.142857142857,2096.616276175447,13490.857142857143,2061.8944558955436,8.619799139167862
B02682,2/18/2015,1314,11724,2015-02-18,2,Wednesday,0,2,3,11887.0,12189.0,11309.0,13748.285714285714,2046.6570885459194,12875.357142857143,2061.5657457805823,8.922374429223744
B02764,2/18/2015,3842,32317,2015-02-18,2,Wednesday,0,2,4,32473.0,31889.0,29994.0,37897.42857142857,5669.303450958305,35397.92857142857,5613.05536521482,8.41150442477876
B02765,2/18/2015,586,5059,2015-02-18,2,Wednesday,0,2,5,4907.0,3778.0,2334.0,5126.428571428572,850.7917600962154,4087.214285714286,1264.2308807255997,8.633105802047782
