dispatching_base_number,date,active_vehicles,trips,trip_date,day_of_week,day_name,is_weekend,month,base_encoded,trips_lag_1,trips_lag_7,trips_lag_14,roll_mean_7,roll_std_7,roll_mean_14,roll_std_14,trips_per_vehicle
B02512,1/15/2015,237,1636,2015-01-15,3,Thursday,0,1,0,1582.0,1772.0,1132.0,1530.7142857142858,219.5227507463366,1310.357142857143,315.55631147908565,6.90295358649789
B02598,1/15/2015,1068,9152,2015-01-15,3,Thursday,0,1,1,8870.0,10050.0,6903.0,8935.57142857143,1127.1443056300657,7706.142857142857,1723.8755468707425,8.569288389513108
B02617,1/15/2015,1457,12539,2015-01-15,3,Thursday,0,1,2,11965.0,13462.0,9537.0,12266.714285714286,1251.9429851615603,10744.07142857143,2126.9593849612475,8.606039807824297
B02682,1/15/2015,1208,10391,2015-01-15,3,Thursday,0,1,3,9762.0,10416.0,7679.0,9925.857142857143,1030.8573177330634,8491.285714285714,1887.520654133411,8.60182119205298
B02764,1/15/2015,3840,31214,2015-01-15,3,Thursday,0,1,4,29550.0,33802.0,29421.0,31464.14285714286,4200.782523473905,28285.0,5381.112338541167,8.128645833333334
B02765,1/15/2015,270,1797,2015-01-15,3,Thursday,0,1,5,1600.0,1911.0,1765.0,1833.142857142857,222.9614529998615,1595.0,363.47066329612227,6.655555555555556
B02512,1/16/2015,234,1481,2015-01-16,4,Friday,0,1,0,1636.0,1560.0,875.0,1511.2857142857142,199.73542023196137,1346.357142857143,322.3201006030298,6.329059829059829
B02598,1/16/2015,1079,9838,2015-01-16,4,Friday,0,1,1,9152.0,9538.0,4768.0,8807.285714285714,1025.7042644423564,7866.785714285715,1747.897382068455,9.117701575532902
B02617,1/16/2015,1445,12977,2015-01-16,4,Friday,0,1,2,12539.0,13165.0,7065.0,12134.857142857143,1149.4850192689814,10958.5,2147.13518437941,8.980622837370243
B02682,1/16/2015,1250,11280,2015-01-16,4,Friday,0,1,3,10391.0,10477.0,5506.0,9922.285714285714,1028.9176698981157,8685.0,1936.2791041662279,9.024
B02764,1/16/2015,3975,34822,2015-01-16,4,Friday,0,1,4,31214.0,33517.0,19974.0,31094.428571428572,4072.665337635899,28413.071428571428,5431.331632500247,8.760251572327045
B02765,1/16/2015,290,2082,2015-01-16,4,Friday,0,1,5,1797.0,2039.0,1001.0,1816.857142857143,220.4763241797392,1597.2857142857142,364.7204258209142,7.179310344827586
B02512,1/17/2015,201,1281,2015-01-17,5,Saturday,1,1,0,1481.0,1646.0,1088.0,1500.0,198.7536163193015,1389.642857142857,293.55817327899604,6.373134328358209
B02598,1/17/2015,974,9546,2015-01-17,5,Saturday,1,1,1,9838.0,10287.0,7432.0,8850.142857142857,1066.7698015616145,8228.92857142857,1572.9452268954528,9.80082135523614
B02617,1/17/2015,1306,12676,2015-01-17,5,Saturday,1,1,2,12977.0,13856.0,10664.0,12108.0,1123.3028680339662,11380.785714285714,1888.2411506100455,9.705972434915774
B02682,1/17/2015,1137,11382,2015-01-17,5,Saturday,1,1,3,11280.0,11629.0,8010.0,10037.0,1139.853353140948,9097.42857142857,1818.4084213435626,10.010554089709762
B02764,1/17/2015,3657,36318,2015-01-17,5,Saturday,1,1,4,34822.0,38864.0,29729.0,31280.85714285714,4228.913667778498,29473.64285714286,5096.007465988113,9.931091058244462
B02765,1/17/2015,252,2160,2015-01-17,5,Saturday,1,1,5,2082.0,2202.0,1526.0,1823.0,228.16222299057296,1674.5,342.5240586721329,8.571428571428571
B02512,1/18/2015,177,1521,2015-01-18,6,Sunday,1,1,0,1281.0,1104.0,791.0,1447.857142857143,201.92030488242042,1403.4285714285713,282.6315117402364,8.59322033898305
B02598,1/18/2015,869,9443,2015-01-18,6,Sunday,1,1,1,9546.0,7176.0,5223.0,8744.285714285714,928.1886866878067,8379.92857142857,1591.9123702344598,10.866513233601841
B02617,1/18/2015,1223,12879,2015-01-18,6,Sunday,1,1,2,12676.0,10932.0,7729.0,11939.42857142857,879.3048119855558,11524.5,1905.9735146275104,10.530662305805397
B02682,1/18/2015,1056,11161,2015-01-18,6,Sunday,1,1,3,11382.0,8461.0,5621.0,10001.714285714286,1084.8532487984576,9338.285714285714,1885.37926927475,10.569128787878787
B02764,1/18/2015,3290,35182,2015-01-18,6,Sunday,1,1,4,36318.0,27681.0,20441.0,30917.14285714286,3517.6933933365754,29944.285714285714,5415.645063198792,10.693617021276596
B02765,1/18/2015,248,2287,2015-01-18,6,Sunday,1,1,5,2160.0,1672.0,993.0,1817.0,216.80405900259325,1719.7857142857142,362.6974111954924,9.221774193548388
B02512,1/19/2015,168,1025,2015-01-19,0,Monday,0,1,0,1521.0,1399.0,984.0,1507.4285714285713,133.48015725549809,1455.5714285714287,221.73050665710736,6.101190476190476
B02598,1/19/2015,706,5609,2015-01-19,0,Monday,0,1,1,9443.0,7915.0,5798.0,9068.142857142857,640.7941501427266,8681.357142857143,1325.3823603394242,7.944759206798867
B02617,1/19/2015,992,7775,2015-01-19,0,Monday,0,1,2,12879.0,10662.0,7899.0,12217.57142857143,812.9575341805704,11892.357142857143,1587.449362348918,7.837701612903226
B02682,1/19/2015,883,7028,2015-01-19,0,Monday,0,1,3,11161.0,9107.0,6012.0,10387.42857142857,911.971647428955,9734.0,1605.8147225246519,7.959229898074745
B02764,1/19/2015,2958,22750,2015-01-19,0,Monday,0,1,4,35182.0,26852.0,20926.0,31988.714285714286,3510.0695488971746,30997.214285714286,4826.845923160802,7.691007437457742
B02765,1/19/2015,238,1568,2015-01-19,0,Monday,0,1,5,2287.0,1711.0,1133.0,1904.857142857143,267.04146280520325,1812.2142857142858,326.29085151168397,6.588235294117647
B02512,1/20/2015,221,1310,2015-01-20,1,Tuesday,0,1,0,1025.0,1652.0,1314.0,1454.0,226.53182263573208,1458.5,215.19749426622394,5.927601809954751
B02598,1/20/2015,944,7206,2015-01-20,1,Tuesday,0,1,1,5609.0,8713.0,6816.0,8738.714285714286,1434.106657387066,8667.857142857143,1357.5820619561298,7.633474576271187
B02617,1/20/2015,1350,10015,2015-01-20,1,Tuesday,0,1,2,7775.0,11825.0,10128.0,11805.142857142857,1829.9069583425485,11883.5,1611.6062579827737,7.4185185185185185
B02682,1/20/2015,1151,8496,2015-01-20,1,Tuesday,0,1,3,7028.0,9629.0,7491.0,10090.42857142857,1528.5588918043954,9806.57142857143,1438.9566580464698,7.3814074717636835
