dispatching_base_number,date,active_vehicles,trips,trip_date
B02764,1/23/2015,4040,33756,2015-01-23
B02617,1/23/2015,1482,13121,2015-01-23
B02682,1/23/2015,1330,11767,2015-01-23
B02598,1/24/2015,945,10040,2015-01-24
B02764,1/24/2015,3652,39187,2015-01-24
B02512,1/24/2015,211,1608,2015-01-24
B02617,1/24/2015,1367,14143,2015-01-24
B02682,1/24/2015,1223,13355,2015-01-24
B02765,1/24/2015,245,2376,2015-01-24
B02512,1/25/2015,183,1190,2015-01-25
B02764,1/25/2015,3300,28066,2015-01-25
B02765,1/25/2015,226,1755,2015-01-25
B02598,1/25/2015,829,7219,2015-01-25
B02682,1/25/2015,1046,9303,2015-01-25
B02617,1/25/2015,1203,10362,2015-01-25
B02617,1/26/2015,1150,7608,2015-01-26
B02598,1/26/2015,860,5919,2015-01-26
B02765,1/26/2015,230,1363,2015-01-26
B02764,1/26/2015,3012,19940,2015-01-26
B02682,1/26/2015,1084,7565,2015-01-26
B02512,1/26/2015,197,1000,2015-01-26
B02682,1/27/2015,600,4414,2015-01-27
B02765,1/27/2015,135,921,2015-01-27
B02617,1/27/2015,596,4325,2015-01-27
B02598,1/27/2015,434,2957,2015-01-27
B02512,1/27/2015,112,629,2015-01-27
B02764,1/27/2015,1619,11998,2015-01-27
B02764,1/28/2015,3692,28137,2015-01-28
B02682,1/28/2015,1235,10025,2015-01-28
B02765,1/28/2015,286,1913,2015-01-28
B02617,1/28/2015,1356,10862,2015-01-28
B02598,1/28/2015,1011,8071,2015-01-28
B02512,1/28/2015,235,1438,2015-01-28
B02617,1/29/2015,1474,12600,2015-01-29
B02764,1/29/2015,3959,31637,2015-01-29
B02682,1/29/2015,1316,11485,2015-01-29
B02765,1/29/2015,295,2086,2015-01-29
B02512,1/29/2015,250,1687,2015-01-29
B02598,1/29/2015,1082,9499,2015-01-29
B02512,1/30/2015,256,2016,2015-01-30
B02617,1/30/2015,1501,14793,2015-01-30
B02682,1/30/2015,1384,13852,2015-01-30
B02764,1/30/2015,4124,39110,2015-01-30
B02765,1/30/2015,322,2785,2015-01-30
B02598,1/30/2015,1106,11167,2015-01-30
